id,name,numOfEmptySlots,numOfBikesAvail,numSlotsTot,latitude,longitude
0001,10th & Cambie,14,21,35,49.262487,-123.114397
0004,Yaletown-Roundhouse Station,8,8,16,49.274566,-123.121817
0005,Dunsmuir & Beatty,16,9,26,49.279764,-123.110154
0007,12th & Yukon (City Hall),12,4,16,49.260599,-123.113504
0008,8th & Ash,6,10,16,49.264215,-123.117772
0009,Spyglass & Seawall,8,6,14,49.270877,-123.115103
0010,Stamps Landing,12,1,14,49.26893,-123.11813
0011,Ontario & Seawall,10,8,20,49.271721,-123.104207
0014,Canada Place,13,13,26,49.287214,-123.11287
0015,Granville & Georgia,8,11,20,49.282409,-123.118541
0016,Pender & Burrard,6,19,26,49.287097,-123.118551
0017,Marinaside & Davie,8,14,22,49.273471,-123.118016
0019,Robson & Hornby,9,19,30,49.282758,-123.122092
0024,Hornby & Pender,15,6,22,49.28602,-123.116624
0025,Homer & Robson (Vancouver Public Library),9,10,20,49.279739,-123.116251
0026,Beatty & Robson,8,11,20,49.277483,-123.114279
0027,Beatty & Nelson,13,1,14,49.275679,-123.116963
0030,Abbott & Cordova,9,13,22,49.282759,-123.106955
0032,Comox & Denman,5,12,18,49.288444,-123.139203
0034,Cordova & Bute,11,3,14,49.289124,-123.12196
0037,Hornby & Nelson,15,2,18,49.28062,-123.12482
0039,Helmcken & Burrard,12,2,15,49.279938,-123.127478
0044,Pacific & Richards,11,2,14,49.273663,-123.127075
0047,Chilco & Beach,5,8,14,49.28972,-123.144028
0048,Comox & Broughton,7,4,12,49.285253,-123.134356
0050,Bute & Comox,7,13,22,49.283343,-123.131099
0052,Cambie & Water,16,16,32,49.284605,-123.108662
0053,Keefer & Abbott,12,14,28,49.279821,-123.10802
0054,Expo & Carrall,5,11,16,49.278004,-123.105664
0055,Keefer & Columbia,1,13,14,49.279342,-123.101822
0057,Marinaside & Cooperage,11,15,26,49.273833,-123.114373
0060,Bidwell & Burnaby,33,42,74,49.28526,-123.141809
0063,Robson & Granville,15,15,30,49.281506,-123.120101
0064,Expo & Smithe,4,10,14,49.276115,-123.114496
0065,Cypress & Cornwall,12,10,22,49.272827,-123.147744
0066,Anderson & 2nd,12,15,28,49.269361,-123.13782
0069,7th & Granville,11,2,14,49.2653,-123.13811
0070,10th & Granville,10,4,14,49.262598,-123.138921
0071,14th & Granville,13,1,14,49.25894,-123.139272
0072,14th & Cambie,10,3,14,49.258763,-123.115392
0073,Ontario & 5th,12,8,20,49.266724,-123.104824
0074,10th & Main,17,0,18,49.262141,-123.101961
